similar_game_id,game_id
16987,55199
119171,55199
81249,55984
96217,55984
1168,55984
13266,55984
16987,55984
19274,55984
11336,55984
11653,55984
116559,55984
119171,55984
25311,37419
28277,37419
76263,37419
8168,37419
87975,37419
96217,37419
13295,37419
1511,37419
11113,37419
113895,37419
1988,19785
1989,19785
22421,19785
22422,19785
22423,19785
22469,19785
22471,19785
22472,19785
67166,19785
6849,19785
1713,18623
17519,18623
23345,18623
29173,18623
31515,18623
36269,18623
36553,18623
5559,18623
79134,18623
12163,18623
17548,35994
25311,35994
26145,35994
26574,35994
2839,35994
29348,35994
37419,35994
8168,35994
96217,35994
19339,35994
1975,28465
22472,28465
2731,28465
41895,28465
4397,28465
4313,28465
51991,28465
6849,28465
75797,28465
13232,28465
11666,9789
132,9789
17111,9789
1713,9789
29173,9789
3148,9789
31515,9789
34823,9789
36346,9789
5559,9789
1975,67166
19785,67166
1988,67166
1989,67166
22426,67166
22471,67166
22472,67166
28465,67166
41895,67166
6849,67166
11169,28168
2792,28168
2839,28168
3245,28168
36198,28168
47823,28168
5538,28168
5592,28168
55199,28168
8916,28168
1776,28309
17548,28309
29348,28309
3245,28309
35994,28309
36198,28309
47823,28309
55199,28309
8916,28309
96217,28309
18869,23733
1915,23733
22387,23733
26226,23733
36198,23733
47823,23733
5592,23733
5519,23733
5633,23733
8916,23733
13189,110737
19817,110737
25646,110737
27266,110737
36815,110737
55282,110737
68271,110737
9937,110737
1955,110737
114455,110737
1915,24426
2342,24426
25222,24426
287,24426
55173,24426
5519,24426
5633,24426
77529,24426
96217,24426
116681,24426
18623,36553
23345,36553
29173,36553
36269,36553
51577,36553
5536,36553
5559,36553
65827,36553
79134,36553
12163,36553
22426,41895
22472,41895
22482,41895
2731,41895
28465,41895
4397,41895
4313,41895
51991,41895
6849,41895
13232,41895
22472,22426
22482,22426
2249,22426
41895,22426
4313,22426
5948,22426
59218,22426
6849,22426
75797,22426
759,22426
7615,19404
9472,19404
26574,19404
26845,19404
2792,19404
28182,19404
2839,19404
29348,19404
55199,19404
96217,19404
14363,3772
22387,3772
23733,3772
25311,3772
2679,3772
36198,3772
37419,3772
8168,3772
1511,3772
118871,3772
11737,18225
13189,18225
19817,18225
25646,18225
55984,18225
81249,18225
12584,18225
17614,18225
114455,18225
11653,18225
3292,113895
37419,113895
4524,113895
43367,113895
96217,113895
13295,113895
15233,113895
11113,113895
119121,113895
119493,113895
19164,19564
19565,19564
26192,19564
2695,19564
5538,19564
76882,19564
1549,19564
15269,19564
17318,19564
118218,19564
25311,81680
35994,81680
37419,81680
8916,81680
94772,81680
96217,81680
1511,81680
1549,81680
16987,81680
11113,81680
18623,23345
29173,23345
36269,23345
36553,23345
5536,23345
5559,23345
65827,23345
79134,23345
12163,23345
19339,23345
17613,55036
18623,55036
23345,55036
29173,55036
31515,55036
36346,55036
36553,55036
5559,55036
79134,55036
12163,55036
17519,29173
31515,29173
33646,29173
34823,29173
35463,29173
36269,29173
36346,29173
5536,29173
5559,29173
55689,29173
1975,117665
22483,117665
28129,117665
28465,117665
77745,117665
77884,117665
11573,117665
11779,117665
115734,117665
119119,117665
24426,28070
25646,28070
2932,28070
5519,28070
77529,28070
96217,28070
1153,28070
11113,28070
11336,28070
116681,28070
1975,115737
28465,115737
32688,115737
759,115737
115734,115737
115735,115737
115739,115737
11574,115737
115741,115737
115742,115737
11668,25646
13189,25646
1811,25646
19817,25646
27266,25646
37419,25646
5633,25646
68271,25646
16992,25646
11113,25646
287,113360
2932,113360
37419,113360
47823,113360
96217,113360
13295,113360
15269,113360
16987,113360
11113,113360
116681,113360
13189,25222
1811,25222
2342,25222
24426,25222
26223,25222
27266,25222
27725,25222
5519,25222
16992,25222
19129,25222
14733,116353
47366,116353
1966,116353
115869,116353
116343,116353
116349,116353
11635,116353
116351,116353
116352,116353
12795,116353
17519,55590
29173,55590
31515,55590
33646,55590
34823,55590
35463,55590
36269,55590
36346,55590
5536,55590
55689,55590
25311,105269
2695,105269
