game_id,genre
7331,5
7331,31
43097,12
43097,13
43097,31
43097,32
8968,31
8968,32
28794,11
28794,15
28794,24
77529,8
77529,9
77529,31
77529,32
20329,9
20329,31
20329,32
3042,5
3042,12
3042,31
109129,9
109129,31
109129,32
19531,5
19531,31
9538,4
9538,11
9538,15
9538,32
115280,12
43367,5
43367,32
17613,13
17613,15
37382,12
37382,31
27209,16
108778,31
108778,32
28010,12
22471,13
1905,5
55888,13
55888,15
55888,32
22482,13
22482,31
77334,11
77334,15
571,5
112416,12
112416,31
59048,31
51991,12
51991,13
51991,31
51991,32
1802,12
119199,8
112191,12
41,5
41,12
118218,5
11423,15
11423,31
11423,32
3277,5
3277,12
3277,31
3277,32
19376,13
19376,15
19376,32
16992,8
16992,9
16992,31
16992,32
78632,12
78632,31
19133,12
19133,25
19133,31
89550,0
19698,12
1244,4
9835,9
9835,31
9835,32
35463,13
35463,15
35463,32
113201,15
115283,0
62151,31
8746,12
8746,31
28325,11
28325,13
28325,15
28325,32
57187,5
57187,8
57187,10
11171,5
11171,24
11171,31
115276,8
112589,4
28129,13
28129,31
36926,12
36926,31
11231,12
6985,11
6985,15
11679,2
11679,13
9552,5
9552,12
9552,13
9552,15
9552,31
9552,32
9477,11
9477,15
9477,24
9648,12
9648,13
9648,14
9648,15
9648,31
2939,11
2939,15
2939,31
2939,32
732,5
732,10
732,14
732,31
77884,0
7406,8
7406,31
7406,32
118871,10
118871,13
118871,14
59173,31
90099,5
90099,12
7350,5
7350,31
7350,32
2002,11
2002,13
2002,15
2002,32
9498,5
9498,12
9498,31
2040,11
2040,13
2040,15
1887,12
1887,24
1887,31
117149,9
10239,5
10239,12
10239,31
10239,32
3155,11
3155,15
103328,5
25921,12
25921,15
25921,31
9730,31
9730,32
87975,13
87975,31
87975,32
107614,9
107614,31
472,12
472,31
9806,8
9806,12
9806,31
9806,32
34024,15
28552,5
28552,31
26870,2
26870,31
26870,32
26870,34
10760,8
10760,12
10760,31
14362,9
14362,31
7342,8
7342,9
7342,31
7342,32
733,5
733,10
733,31
733,33
7276,12
18290,5
18290,12
18290,31
18290,32
37001,8
37001,31
32457,13
32457,32
61985,4
61985,15
113636,12
76877,5
76877,12
76877,31
57296,0
12517,5
12517,12
12517,16
12517,31
12517,32
107218,11
107218,15
107218,24
95776,9
44178,10
44178,13
68287,5
25905,0
103281,5
960,5
18918,13
18918,15
18918,32
21564,13
21564,15
21564,31
21564,32
58075,5
58075,11
58075,15
111253,12
111253,31
111253,32
7351,5
1372,5
1372,15
1372,24
115741,0
76882,31
1985,5
1985,24
1985,31
103054,12
103054,31
7344,8
7344,9
7344,31
7344,32
32510,15
32510,16
15851,14
15851,33
11737,31
10243,11
10243,15
113109,12
113109,25
26758,8
26758,31
75242,5
26658,31
26658,32
51213,12
103369,4
20331,12
20331,15
20331,31
20331,32
90101,4
90965,33
119119,13
19085,11
19085,15
19085,24
19085,32
115740,0
18841,2
18841,31
18841,32
8559,5
116559,12
116559,31
115301,0
7599,12
7599,31
101573,13
27378,10
9760,15
1352,7
1352,8
1352,12
1352,31
1352,32
112754,13
112754,15
18020,9
18020,13
18020,31
18020,32
114285,13
114285,14
43165,12
43165,13
43165,31
43165,32
36977,5
36977,32
75797,31
75797,32
19249,5
19249,13
19249,15
19249,31
19249,32
662,11
662,13
662,15
662,31
110503,8
110503,9
110503,31
110503,32
27316,31
65503,9
65503,31
58958,16
9834,11
9834,12
9834,15
11668,9
11668,31
11668,32
87485,12
87485,13
19542,13
19542,32
114795,5
106279,13
106279,31
106279,32
19541,12
7364,4
7364,7
7364,13
7364,31
119507,5
119507,31
1121,5
1121,10
1121,31
103295,31
103295,32
8744,5
8744,24
60044,9
55077,12
55077,13
55077,14
55077,15
55077,32
538,5
538,31
501,4
501,25
501,31
117497,15
117497,24
29032,8
29032,31
29032,32
5601,9
5601,31
5601,32
9856,11
9856,15
19083,15
19083,26
19083,32
11367,9
11367,31
11367,32
3019,8
3019,12
3019,31
3019,32
11208,12
107169,12
107169,13
107169,31
107169,32
22483,13
11118,5
11118,12
11118,31
17000,12
17000,13
17000,32
68855,11
68855,15
68855,25
90788,9
90788,33
11292,12
11292,31
1377,5
1377,31
471,5
471,31
89132,9
87514,31
87514,32
87514,33
63933,7
77597,15
16391,12
109274,31
19549,5
19549,15
19549,24
19549,32
76253,25
1341,5
1341,31
75240,31
38030,5
7386,9
7386,31
7386,32
832,11
832,12
832,15
15409,12
15409,13
15409,15
15409,31
15409,32
353,5
102420,15
102420,32
7046,13
7046,15
7046,32
359,4
359,12
359,31
109292,10
11162,25
2918,12
2918,13
2918,15
241,5
22485,13
4843,12
4843,31
7334,12
7334,31
17446,5
17446,32
80382,10
7213,15
7213,31
5589,11
5589,15
18981,7
18981,32
21642,13
21642,15
21642,32
16806,13
16806,15
79999,2
79999,31
79999,32
28540,12
28540,31
120201,31
120201,32
36732,4
28472,26
3278,13
3278,32
1011,5
1011,12
119305,31
116352,14
36815,31
36815,32
96239,5
96239,32
22439,12
22439,31
7843,5
7843,24
5503,25
5503,31
11233,9
11233,31
11233,32
74701,31
68271,31
68271,32
16287,5
16287,13
16287,31
16287,32
7323,5
7323,31
233,5
17479,12
17479,13
17479,31
17479,32
64061,12
19686,5
16999,4
16999,12
16999,13
16999,15
16999,31
115284,31
109606,14
102868,5
102868,32
22690,14
22690,32
587,11
587,15
101211,5
101211,12
101211,31
11550,15
11550,16
26900,12
