,game_id,age_rating
567,87514,22005
568,63933,0
569,77597,0
570,16391,0
571,109274,24934
572,19549,13803
573,76253,24278
574,1341,4566
575,1341,11390
576,1341,11391
577,75240,25376
578,38030,0
579,7386,7382
580,7386,12793
581,832,1110
582,832,19910
583,15409,0
584,353,0
585,102420,0
586,7046,0
587,359,14065
588,359,14066
589,109292,0
590,11162,10960
591,11162,20842
592,2918,6453
593,2918,6454
594,241,419
595,22485,0
596,4843,21038
597,4843,21039
598,7334,6468
599,7334,24580
600,17446,25570
601,80382,0
602,7213,4163
603,5589,8461
604,5589,8462
605,18981,0
606,21642,11346
607,21642,11347
608,16806,0
609,79999,0
610,28540,14240
611,28540,21379
612,120201,0
613,36732,12621
614,28472,12376
615,3278,0
616,1011,96
617,1011,12190
618,119305,25259
619,116352,0
620,36815,0
621,96239,0
622,22439,13899
623,22439,13900
624,7843,25571
625,7843,25572
626,5503,11621
627,5503,11622
628,11233,13075
629,11233,13076
630,74701,26114
631,68271,0
632,16287,23069
633,16287,23070
634,7323,9162
635,7323,11319
636,233,828
637,233,11281
638,17479,0
639,64061,0
640,19686,23806
641,19686,24266
642,16999,22048
643,115284,24883
644,109606,0
645,102868,0
646,22690,0
647,587,6376
648,587,23114
649,101211,25573
650,101211,25574
651,11550,12499
652,11550,12500
653,26900,0
